% Edge logfile: log_20240404_121729.277/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1712225852.2170 2 1 0.0300 0.0192 -0.4913 0
1712225852.2247 2 1 0.0300 0.0189 -0.5165 0
1712225852.2329 2 1 0.0300 0.0190 -0.5052 0
1712225852.2409 2 1 0.0300 0.0190 -0.5014 0
1712225852.2487 2 1 0.0300 0.0189 -0.5053 0
1712225852.2567 2 1 0.0300 0.0190 -0.4899 0
1712225852.2646 2 1 0.0300 0.0191 -0.4805 0
1712225852.2724 2 1 0.0300 0.0191 -0.4822 0
1712225852.2806 2 1 0.0300 0.0185 -0.5258 0
1712225852.2886 2 1 0.0300 0.0190 -0.4836 0
1712225852.2966 2 1 0.0300 0.0190 -0.4800 0
1712225852.3045 2 1 0.0300 0.0192 -0.4591 0
1712225852.3126 2 1 0.0300 0.0192 -0.4606 0
1712225852.3205 2 1 0.0300 0.0190 -0.4728 0
1712225852.3285 2 1 0.0300 0.0189 -0.4787 0
1712225852.3368 2 1 0.0300 0.0190 -0.4723 0
1712225852.3445 2 1 0.0300 0.0184 -0.5189 0
1712225852.3526 2 1 0.0300 0.0183 -0.5222 0
1712225852.3606 2 1 0.0300 0.0179 -0.5511 0
1712225852.3685 2 1 0.0300 0.0177 -0.5650 0
1712225852.3765 2 1 0.0300 0.0174 -0.5805 0
1712225852.3845 2 1 0.0300 0.0170 -0.6061 0
1712225852.3933 2 1 0.0300 0.0172 -0.5883 0
1712225852.4004 2 1 0.0300 0.0170 -0.5991 0
1712225852.4084 2 1 0.0300 0.0169 -0.6070 0
1712225852.4173 2 1 0.0300 0.0163 -0.6482 0
1712225852.4253 2 1 0.0300 0.0163 -0.6467 0
1712225852.4323 2 1 0.0300 0.0158 -0.6772 0
1712225852.4411 2 1 0.0300 0.0155 -0.6962 0
1712225852.4494 2 1 0.0300 0.0156 -0.6839 0
1712225852.4565 2 1 0.0300 0.0159 -0.6540 0
1712225852.4653 2 1 0.0300 0.0151 -0.7093 0
1712225852.4733 2 1 0.0300 0.0154 -0.6797 0
1712225852.4813 2 1 0.0300 0.0157 -0.6554 0
1712225852.4890 2 1 0.0300 0.0155 -0.6623 0
1712225852.4973 2 1 0.0300 0.0155 -0.6593 0
1712225852.5045 2 1 0.0300 0.0163 -0.5956 0
1712225852.5133 2 1 0.0300 0.0163 -0.5882 0
1712225852.5213 2 1 0.0300 0.0163 -0.5916 0
1712225852.5293 2 1 0.0300 0.0165 -0.5723 0
1712225852.5370 2 1 0.0300 0.0173 -0.5073 0
1712225852.5449 2 1 0.0300 0.0167 -0.5553 0
1712225852.5533 2 1 0.0300 0.0168 -0.5401 0
1712225852.5610 2 1 0.0300 0.0170 -0.5292 0
1712225852.5690 2 1 0.0300 0.0174 -0.4991 0
1712225852.5771 2 1 0.0300 0.0172 -0.5143 0
1712225852.5848 2 1 0.0300 0.0177 -0.4748 0
1712225852.5930 2 1 0.0300 0.0183 -0.4284 0
1712225852.6011 2 1 0.0300 0.0186 -0.4054 0
1712225852.6088 2 1 0.0300 0.0186 -0.4040 0
1712225852.6168 2 1 0.0300 0.0193 -0.3543 0
1712225852.6248 2 1 0.0300 0.0190 -0.3793 0
