% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1712225851.5582 1546 1307 7 4
1712225851.5659 1552 1311 6 4
1712225851.5739 1559 1314 7 3
1712225851.5819 1566 1318 7 4
1712225851.5896 1572 1323 6 5
1712225851.5977 1579 1327 7 4
1712225851.6060 1586 1330 7 3
1712225851.6137 1592 1334 6 4
1712225851.6217 1599 1339 7 5
1712225851.6297 1605 1343 6 4
1712225851.6374 1611 1346 6 3
1712225851.6455 1617 1350 6 4
1712225851.6537 1624 1355 7 5
1712225851.6615 1631 1360 7 5
1712225851.6695 1637 1363 6 3
1712225851.6775 1643 1367 6 4
1712225851.6863 1649 1372 6 5
1712225851.6934 1657 1376 8 4
1712225851.7014 1664 1380 7 4
1712225851.7102 1669 1384 5 4
1712225851.7183 1675 1388 6 4
1712225851.7253 1681 1393 6 5
1712225851.7341 1688 1398 7 5
1712225851.7422 1695 1402 7 4
1712225851.7493 1701 1406 6 4
1712225851.7581 1706 1410 5 4
1712225851.7661 1712 1415 6 5
1712225851.7742 1719 1420 7 5
1712225851.7821 1725 1424 6 4
1712225851.7901 1731 1428 6 4
1712225851.7983 1736 1432 5 4
1712225851.8061 1743 1437 7 5
1712225851.8141 1749 1442 6 5
1712225851.8221 1755 1447 6 5
1712225851.8300 1762 1450 7 3
1712225851.8382 1768 1454 6 4
1712225851.8462 1773 1459 5 5
1712225851.8541 1779 1464 6 5
1712225851.8621 1786 1467 7 3
1712225851.8701 1793 1471 7 4
1712225851.8780 1799 1476 6 5
1712225851.8860 1804 1480 5 4
1712225851.8941 1810 1484 6 4
1712225851.9020 1816 1488 6 4
1712225851.9099 1823 1492 7 4
1712225851.9182 1829 1496 6 4
1712225851.9259 1834 1501 5 5
1712225851.9340 1840 1505 6 4
1712225851.9419 1847 1510 7 5
1712225851.9498 1853 1514 6 4
1712225851.9578 1859 1519 6 5
1712225851.9660 1865 1524 6 5
1712225851.9738 1871 1528 6 4
1712225851.9819 1877 1533 6 5
1712225851.9898 1883 1538 6 5
1712225851.9977 1889 1542 6 4
1712225852.0059 1895 1547 6 5
1712225852.0139 1901 1552 6 5
1712225852.0216 1907 1556 6 4
1712225852.0297 1913 1561 6 5
1712225852.0376 1919 1566 6 5
1712225852.0453 1924 1570 5 4
1712225852.0537 1930 1575 6 5
1712225852.0617 1936 1580 6 5
1712225852.0695 1942 1584 6 4
1712225852.0776 1948 1590 6 6
1712225852.0857 1953 1594 5 4
1712225852.0934 1959 1598 6 4
1712225852.1017 1966 1604 7 6
1712225852.1097 1972 1608 6 4
1712225852.1174 1977 1613 5 5
1712225852.1254 1982 1618 5 5
1712225852.1334 1989 1623 7 5
1712225852.1413 1995 1627 6 4
1712225852.1494 2001 1632 6 5
1712225852.1574 2007 1637 6 5
1712225852.1662 2013 1641 6 4
1712225852.1734 2019 1645 6 4
1712225852.1814 2024 1650 5 5
1712225852.1895 2030 1654 6 4
1712225852.1977 2037 1659 7 5
1712225852.2056 2044 1663 7 4
1712225852.2134 2050 1668 6 5
1712225852.2214 2056 1672 6 4
1712225852.2293 2062 1677 6 5
1712225852.2383 2068 1682 6 5
1712225852.2463 2076 1686 8 4
1712225852.2534 2084 1690 8 4
1712225852.2621 2090 1694 6 4
1712225852.2701 2094 1699 4 5
1712225852.2783 2100 1703 6 4
1712225852.2861 2108 1707 8 4
1712225852.2941 2115 1712 7 5
1712225852.3023 2120 1716 5 4
1712225852.3100 2126 1720 6 4
1712225852.3181 2133 1724 7 4
1712225852.3263 2139 1728 6 4
1712225852.3340 2145 1732 6 4
1712225852.3422 2151 1736 6 4
1712225852.3493 2158 1741 7 5
1712225852.3581 2164 1744 6 3
1712225852.3663 2170 1748 6 4
1712225852.3742 2178 1752 8 4
1712225852.3819 2184 1756 6 4
1712225852.3899 2190 1759 6 3
1712225852.3981 2197 1763 7 4
1712225852.4058 2204 1768 7 5
1712225852.4140 2210 1772 6 4
1712225852.4220 2217 1776 7 4
1712225852.4297 2224 1781 7 5
1712225852.4378 2230 1786 6 5
1712225852.4458 2238 1789 8 3
1712225852.4537 2245 1793 7 4
1712225852.4620 2251 1797 6 4
1712225852.4700 2258 1801 7 4
1712225852.4777 2266 1804 8 3
1712225852.4857 2272 1808 6 4
1712225852.4938 2278 1812 6 4
1712225852.5019 2286 1815 8 3
1712225852.5100 2293 1819 7 4
1712225852.5180 2299 1823 6 4
1712225852.5257 2306 1826 7 3
1712225852.5337 2313 1830 7 4
1712225852.5417 2320 1833 7 3
1712225852.5496 2327 1837 7 4
1712225852.5577 2334 1840 7 3
1712225852.5657 2341 1844 7 4
1712225852.5734 2347 1847 6 3
1712225852.5815 2354 1851 7 4
1712225852.5895 2361 1854 7 3
1712225852.5975 2367 1858 6 4
1712225852.6055 2374 1862 7 4
1712225852.6135 2381 1865 7 3
1712225852.6223 2387 1869 6 4
1712225852.6302 2394 1873 7 4
1712225852.6373 2401 1876 7 3
1712225852.6461 2408 1880 7 4
1712225852.6533 2415 1884 7 4
1712225852.6623 2422 1887 7 3
1712225852.6700 2429 1891 7 4
1712225852.6780 2436 1895 7 4
1712225852.6862 2443 1899 7 4
1712225852.6939 2449 1903 6 4
1712225852.7021 2456 1907 7 4
1712225852.7101 2463 1911 7 4
1712225852.7179 2470 1915 7 4
1712225852.7261 2477 1919 7 4
1712225852.7333 2483 1923 6 4
1712225852.7423 2490 1927 7 4
1712225852.7494 2497 1931 7 4
1712225852.7574 2503 1936 6 5
1712225852.7661 2509 1939 6 3
1712225852.7743 2516 1943 7 4
1712225852.7822 2522 1948 6 5
1712225852.7899 2528 1953 6 5
1712225852.7981 2535 1957 7 4
1712225852.8061 2541 1960 6 3
1712225852.8138 2548 1964 7 4
1712225852.8221 2554 1969 6 5
1712225852.8301 2560 1974 6 5
1712225852.8379 2567 1978 7 4
1712225852.8460 2574 1981 7 3
1712225852.8542 2580 1986 6 5
1712225852.8620 2586 1991 6 5
1712225852.8700 2592 1996 6 5
1712225852.8780 2598 2000 6 4
1712225852.8858 2605 2003 7 3
